Year	Block 	Well	Pollen source nest	Pollen source cell	Pollen source species	Pollen type	Bee source	Bee source cell	Est date laid	Mean date laid	Est DOY laid	Bee species	Bee subgenus	Origin pollen	Transfer type	Transferred as	Transfer date	Est eclosion date	Day of event yr 1	Event	Days to event	Survival
2018	6	3	KP-E1	4	Osmia subaustralis	Asteraceae	FT-F2b	3	24-Jun	24-Jun	175	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	L	9-Jul	4-Jul	2-Aug	cocoon	39	0
2018	2	6	KC-F7	1	Osmia coloradensis	Taraxacum	FT-F2b	4	25-Jun	25-Jun	176	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	E	30-Jun	3-Jul	7-Jul	dead	12	1
2018	5	2	KP-E1	5	Osmia subaustralis	Asteraceae	FT-F2b	7	28-Jun	28-Jun	179	Osmia subaustralis	Cephalosmia	Asteraceae	Transfer	E	30-Jun	5-Jul	19-Jul	dead	21	1
2018	3	2	GT-C14	2	Osmia coloradensis	Taraxacum	GT-C14	2	2-Jun	2-Jun	153	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	12-Jun	31-Jul	cocoon	59	0
2018	1	12	GT-C14	9	Osmia coloradensis	Taraxacum	GT-C14	9	9-Jun	9-Jun	160	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	19-Jun	11-Jul	dead	32	1
2018	5	5	SG-E13	3	Osmia coloradensis	Taraxacum	GT-C14b	1	15-Jun	15-Jun	166	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	30-Jun	25-Jun	9-Jul	dead	24	1
2018	2	2	KC-F7	4	Osmia coloradensis	Taraxacum	GT-C14b	2	16-Jun	16-Jun	167	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	2-Jul	26-Jun	17-Jul	dead	31	1
2018	5	4	KC-F7	5	Osmia coloradensis	Taraxacum	GT-C14b	6	20-Jun	20-Jun	171	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	2-Jul	30-Jun	7-Jul	dead	17	1
2018	6	1	KP-J9	1	Osmia subaustralis	Asteraceae	GT-C14b	7	21-Jun	21-Jun	172	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	6-Jul	1-Jul	23-Aug	alive	63	0
2018	6	8	JF-E5	4	Osmia coloradensis	Asteraceae	GT-C14b	8	22-Jun	22-Jun	173	Osmia coloradensis	Helicosmia	Taraxacum	Transfer	L	6-Jul	2-Jul	15-Jul	dead	23	1
2018	2	14	JF-C15	2	Osmia coloradensis	mix	JF-C15	2	30-May	30-May	150	Osmia coloradensis	Helicosmia	mix	Control	NA	21-Jun	9-Jun	13-Jul	cocoon	44	0
2018	2	1	JF-C15	10	Osmia coloradensis	mix	JF-C15	10	7-Jun	7-Jun	158	Osmia coloradensis	Helicosmia	mix	Control	NA	21-Jun	17-Jun	23-Jul	cocoon	46	0
2018	3	15	JF-D14	1	Osmia coloradensis	mix	JF-D14	1	3-Jun	3-Jun	154	Osmia coloradensis	Helicosmia	mix	Control	NA	21-Jun	13-Jun	15-Jul	cocoon	42	0
2018	2	13	JF-D14	5	Osmia coloradensis	Taraxacum	JF-D14	5	7-Jun	7-Jun	158	Osmia coloradensis	Helicosmia	Taraxacum	Control	NA	21-Jun	17-Jun	21-Jul	cocoon	44	0
2018	2	11	GT-C14b	4	Osmia coloradensis	Taraxacum	JF-E5	2	25-Jun	25-Jun	176	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	5-Jul	5-Jul	15-Jul	dead	20	1
2018	5	7	GT-C14b	3	Osmia coloradensis	Taraxacum	JF-E5	3	26-Jun	26-Jun	177	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	5-Jul	5-Jul	15-Jul	dead	19	1
2018	6	6	KP-J9	2	Osmia subaustralis	Asteraceae	JF-E5	5	28-Jun	28-Jun	179	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	9-Jul	8-Jul	13-Aug	dead	46	1
2018	6	7	FT-F2b	2	Osmia subaustralis	Asteraceae	JF-E5	7	30-Jun	30-Jun	181	Osmia coloradensis	Helicosmia	Asteraceae	Transfer	L	11-Jul	10-Jul	13-Jul	dead	13	1
2018	1	5	GT-C14b	8	Osmia coloradensis	Taraxacum	KC-E1	1	24-25jun	24-Jun	175	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	11-Jul	4-Jul	23-Aug	alive	60	0
2018	3	6	KP-B4b	2	Osmia subaustralis	Asteraceae	KC-E1	2	25-26 jun	25-Jun	176	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	11-Jul	5-Jul	17-Jul	dead	22	1
2018	7	2	JF-E5	5	Osmia coloradensis	Asteraceae	KC-E1	4	29-30 jun	29-Jun	180	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	12-Jul	9-Jul	23-Aug	alive	55	0
2018	8	1	GT-C14	7	Osmia coloradensis	Taraxacum	KC-E1	5	30 jun-1 jul	30-Jun	181	Osmia montana	Cephalosmia	Asteraceae	Transfer	L	12-Jul	10-Jul	17-Jul	dead	17	1
2018	8	8	KC-B8	2	Osmia coloradensis	Asteraceae	KC-E1	6	1-2 jul	1-Jul	182	Osmia montana	Cephalosmia	Asteraceae	Transfer	E	12-Jul	13-Jul	23-Aug	alive	53	0
